零,líng,0
一,yī,1
二,èr,2
三,sān,3
四,sì,4
五,wǔ,5
六,liù,6
七,qī,7
八,bā,8
九,jiǔ,9
十,shí,10
一,yaō,1 (over phone)
天气,tiānqì,weather
好,hǎo,good
很,hěn,very
冷,lěng,cold
不,bù,not
热,rè,hot
今天,jīntiān,today
忙,máng,busy
吗,ma,question character
呢,ne,asking question back
也,yě,also
句号,jùhào,period
我,wǒ,I
你,nǐ,you
他,tā(m),he/him
她,tā(f), she/her
我们,wǒmen,we/us
你们,nǐmen,you (plural)
他们,tāmen(m),"they, them"
她们,tāmen(f),"they, them"
您,nín,you (respectful)
真,zhēn,really
昨天,zuótiān,yesterday
早,zǎo,morning
啊,a,exclamation
都,dōu,all
请,qǐng,please
坐,zuò,sit
再见,zàijiàn,goodbye
这,zhè,this
那,nà,that
是,shì,to be
叫,jiào,to be called
姓,xìng,last name
中国,zhōngguó,China
国,guó,place
北京,běijīng,Beijing
人,rén,"people, person"
小姐,xiǎojiě,miss
先生,xiānsheng,mister
太太,tàitai,Mrs.
同志,tóngzhì,comrade
哪,nǎ,which
什么,shénme,what
名字,míngzì,name
加拿大,Jiānádà,Canada
多伦多,Duōlúnduō,Toronto
上海,Shànghǎi,Shanghai
蒙特利尔,Měngtèlì'ěr,Montreal
英国,Yīngguó,England
美国,měiguó,America
爱人,àirén,husband/wife
华侨,huáqiáo,Overseas Chinese
华裔,huáyì,people of Chinese descent/people who have Chinese blood
华,Huá,Hua
英,Yīng,Ying
老,lǎo,Old
张,Zhāng,Zhang
小,xiǎo,little
王,Wáng,Wang
地方,dìfang,place
谁,Shéi,who